fea1,fea2,fea3,fea4,fea5
100,2,白,12615.5,126.155
16,2,白,180.123,11.2576875
1,2,白,3,3
61,2,白,2813,46.1147540984
18,2,白,333,18.5
5,2,白,250,50
19,2,白,410,21.5789473684
1,2,白,60,60
12,2,白,379,31.5833333333
1,2,白,5,5
8,2,白,813,101.625
19,2,白,43.4,2.28421052632
2,2,白,148,74
9,2,白,665,73.8888888889
34,2,白,342,10.0588235294
7,2,白,651,93
7,2,白,651,93
36,2,白,720,20
7,2,白,205,29.2857142857
6,2,白,70,11.6666666667
9,2,白,296.258,32.9175555556
1,2,白,20,20
14,2,白,186,13.2857142857
3,2,白,10.548,3.516
9,2,白,231,25.6666666667
1,2,白,7,7
8,2,白,472,59
17,2,白,348,20.4705882353
29,2,白,390,13.4482758621
